state_county,pop_2012,popdensity,percapinc
01001,56862,95.65704916,25035
01003,193566,121.7561593,27217
01005,26968,30.47657662,15899
01007,23272,37.37979463,18462
01009,58695,91.03162758,21185
01011,10681,17.14983628,20678
01013,20721,26.67383582,17091
01015,119829,197.7808124,20903
01017,33386,55.96687371,17705
01019,26251,47.41016324,21673
01021,44389,64.06688711,20826
01023,13314,14.57470827,18201
01025,25173,20.32596804,18471
01027,13746,22.75973991,18284
01029,15095,26.95053548,18881
01031,51298,75.5524763,22953
01033,54073,91.24404805,21693
01035,12926,15.20426197,16673
01037,11291,17.34605215,19966
01039,37634,36.52168389,20246
01041,13854,22.75475089,21993
01043,81037,110.2783381,20621
01045,50317,89.66768438,22326
01047,43119,44.05766418,17259
01049,72291,93.02743785,18788
01051,82207,132.9168181,23828
01053,37940,40.14473205,16509
01055,104343,195.0371055,20818
01057,16839,26.82822338,18336
01059,31723,50.05044121,18715
01061,26629,46.35901537,20120
01063,8745,13.513932,15210
01065,15353,23.84218278,16480
01067,17336,30.86069258,20079
01069,104551,180.3149989,23152
01071,52595,48.79540534,19770
01073,655077,589.4816766,26962
01075,14161,23.41255959,20865
01077,93575,140.1458467,22692
01079,34006,49.2357106,19676
01081,145813,240.0072103,23015
01083,86818,155.0497768,24157
01085,10783,15.06193825,17671
01087,20763,34.1000316,16763
01089,347745,433.817353,30708
01091,20522,21.0076566,19075
01093,30501,41.09031038,18358
01095,95439,168.667367,20590
01097,417324,339.4436019,22306
01099,22597,22.03135074,17408
01101,230375,293.7530498,24991
01103,121229,209.2546555,23552
01105,10248,14.23998412,14283
01107,19345,21.9478292,16310
01109,33173,49.3576721,19335
01111,22886,39.42126298,20147
01113,53638,83.66031244,18233
01115,88102,139.4234504,22974
01117,207001,263.7189255,34226
01119,13460,14.89123594,14122
01121,82305,111.7097516,18882
01123,41454,57.85457288,22792
01125,201187,152.21205,22449
01127,65750,83.10247289,20881
01129,17337,16.04970652,19836
01131,11334,12.75635432,12683
01133,24288,39.62290012,18568
02013,2302,0.329707643,24387
02016,4182,0.952559663,31188
